filename,split,spectral_label,kmeans_label,n_nodes,n_edges,cyclomatic,avg_degree,max_degree,n_endpoints,n_junctions,branching_ratio,total_length,avg_length,std_length,avg_tortuosity,node_density,components
pt_graph_0,train,0,0,27,23,0,1.7037037037037037,3.0,17,9,0.5294117647058824,23.0,1.0,0.0,1000000.0,0.0,4
pt_graph_1,train,0,0,47,49,4,2.0851063829787235,4.0,20,23,1.15,49.0,1.0,0.0,1000000.0,0.0,2
pt_graph_2,train,0,0,47,48,2,2.0425531914893615,3.0,20,22,1.1,48.0,1.0,0.0,1000000.0,0.0,1
pt_graph_3,train,0,0,43,40,2,1.8604651162790697,4.0,24,17,0.7083333333333334,40.0,1.0,0.0,1000000.0,0.0,5
pt_graph_4,train,0,0,43,38,1,1.7674418604651163,3.0,25,15,0.6,38.0,1.0,0.0,1000000.0,0.0,6
pt_graph_5,train,0,0,38,36,0,1.894736842105263,4.0,22,16,0.7272727272727273,36.0,1.0,0.0,1000000.0,0.0,2
pt_graph_6,train,2,1,84,81,2,1.9285714285714286,4.0,44,36,0.8181818181818182,81.0,1.0,0.0,1000000.0,0.0,5
pt_graph_7,train,2,1,82,78,2,1.9024390243902438,4.0,45,32,0.7111111111111111,78.0,1.0,0.0,1000000.0,0.0,6
pt_graph_8,train,1,1,133,127,2,1.9097744360902256,4.0,70,54,0.7714285714285715,127.0,1.0,0.0,1000000.0,0.0,8
pt_graph_9,train,1,1,128,122,3,1.90625,5.0,71,50,0.704225352112676,122.0,1.0,0.0,1000000.0,0.0,9
pt_graph_10,train,2,1,82,75,0,1.829268292682927,5.0,48,31,0.6458333333333334,75.0,1.0,0.0,1000000.0,0.0,7
pt_graph_11,train,0,0,14,14,1,2.0,3.0,7,7,1.0,14.0,1.0,0.0,1000000.0,0.0,1
pt_graph_12,train,0,0,15,15,2,2.0,3.0,6,6,1.0,15.0,1.0,0.0,1000000.0,0.0,2
pt_graph_13,train,0,2,12,8,0,1.3333333333333333,3.0,10,2,0.2,8.0,1.0,0.0,1000000.0,0.0,4
pt_graph_14,train,0,0,47,45,2,1.9148936170212767,3.0,25,21,0.84,45.0,1.0,0.0,1000000.0,0.0,4
pt_graph_15,train,0,0,22,20,1,1.8181818181818181,4.0,12,7,0.5833333333333334,20.0,1.0,0.0,1000000.0,0.0,3
pt_graph_16,train,0,0,19,17,1,1.7894736842105263,4.0,12,6,0.5,17.0,1.0,0.0,1000000.0,0.0,3
pt_graph_17,train,0,2,12,9,0,1.5,3.0,8,2,0.25,9.0,1.0,0.0,1000000.0,0.0,3
pt_graph_18,train,0,0,32,29,1,1.8125,4.0,17,9,0.5294117647058824,29.0,1.0,0.0,1000000.0,0.0,4
pt_graph_19,train,0,0,34,30,2,1.7647058823529411,4.0,19,10,0.5263157894736842,30.0,1.0,0.0,1000000.0,0.0,6
pt_graph_20,train,0,2,28,20,0,1.4285714285714286,3.0,17,5,0.29411764705882354,20.0,1.0,0.0,1000000.0,0.0,8
pt_graph_21,train,0,0,57,54,0,1.894736842105263,4.0,31,22,0.7096774193548387,54.0,1.0,0.0,1000000.0,0.0,3
pt_graph_22,train,2,1,81,77,0,1.9012345679012346,6.0,43,29,0.6744186046511628,77.0,1.0,0.0,1000000.0,0.0,4
pt_graph_23,train,1,1,139,134,3,1.9280575539568345,6.0,71,50,0.704225352112676,134.0,1.0,0.0,1000000.0,0.0,8
pt_graph_24,train,0,0,33,28,0,1.696969696969697,3.0,21,11,0.5238095238095238,28.0,1.0,0.0,1000000.0,0.0,5
pt_graph_25,train,2,1,102,92,0,1.803921568627451,4.0,57,35,0.6140350877192983,92.0,1.0,0.0,1000000.0,0.0,10
